brand_final,size_oz_rounded,STORE,beta_own,beta_cross,promo_theta,opt_price,opt_promo,opt_profit,baseline_profit,profit_lift_abs
Kellogg's,15.0,102,-1.73,0.0,0.3,4.3011,1,457.0374,186.6738,270.3635
Kellogg's,18.0,74,-1.73,0.0,0.3,5.2325,1,186.8626,67.9503,118.9123
Kellogg's,20.0,80,-1.73,0.0,0.3,5.1047,1,203.9202,75.3378,128.5824
Post,16.0,126,-1.73,0.0,0.3,4.054,1,164.2188,67.054,97.1648
General Mills,12.0,102,-1.73,0.0,0.43,3.9119,1,255.9984,94.7499,161.2484
General Mills,14.0,126,-1.73,0.0,0.43,4.3154,1,229.0224,85.05,143.9724
General Mills,15.0,126,-1.73,0.0,0.43,4.1096,1,194.305,72.3111,121.9939
General Mills,18.0,126,-1.73,0.0,0.43,5.1995,1,209.4179,69.8643,139.5536
General Mills,20.0,126,-1.73,0.0,0.43,5.1635,1,300.5141,104.6533,195.8607
Kellogg's,12.0,18,-1.73,0.0,0.43,3.7705,1,186.6999,57.5814,129.1185
Kellogg's,15.0,102,-1.73,0.0,0.43,4.3011,1,498.5959,186.6738,311.9221
Kellogg's,18.0,74,-1.73,0.0,0.43,5.2325,1,209.6856,67.9503,141.7352
Kellogg's,20.0,80,-1.73,0.0,0.43,5.1047,1,226.643,75.3378,151.3052
Post,16.0,126,-1.73,0.0,0.43,4.054,1,182.7872,67.054,115.7331
General Mills,12.0,102,-1.73,0.0,0.51,3.9119,1,274.5759,94.7499,179.8259
General Mills,14.0,126,-1.73,0.0,0.51,4.3154,1,246.5452,85.05,161.4952
General Mills,15.0,126,-1.73,0.0,0.51,4.1096,1,208.7403,72.3111,136.4292
General Mills,18.0,126,-1.73,0.0,0.51,5.1995,1,225.7346,69.8643,155.8703
General Mills,20.0,126,-1.73,0.0,0.51,5.1635,1,323.9285,104.6533,219.2752
Kellogg's,12.0,18,-1.73,0.0,0.51,3.7705,1,200.8455,57.5814,143.2641
Kellogg's,15.0,102,-1.73,0.0,0.51,4.3011,1,526.0274,186.6738,339.3536
Kellogg's,18.0,74,-1.73,0.0,0.51,5.2325,1,225.0952,67.9503,157.1448
Kellogg's,20.0,80,-1.73,0.0,0.51,5.1047,1,241.8675,75.3378,166.5297
Post,16.0,126,-1.73,0.0,0.51,4.054,1,195.2429,67.054,128.1888
General Mills,12.0,102,-1.73,0.5,0.3,3.9119,1,240.1657,94.7499,145.4158
General Mills,14.0,126,-1.73,0.5,0.3,4.3154,1,213.581,85.05,128.5309
General Mills,15.0,126,-1.73,0.5,0.3,4.1096,1,181.8129,72.3111,109.5018
General Mills,18.0,126,-1.73,0.5,0.3,5.1995,1,194.8852,69.8643,125.0209
General Mills,20.0,126,-1.73,0.5,0.3,5.1635,1,279.6597,104.6533,175.0064
Kellogg's,12.0,18,-1.73,0.5,0.3,3.7705,1,174.3078,57.5814,116.7264
Kellogg's,15.0,102,-1.73,0.5,0.3,4.3011,1,480.4702,186.6738,293.7963
Kellogg's,18.0,74,-1.73,0.5,0.3,5.2325,1,196.4433,67.9503,128.4929
Kellogg's,20.0,80,-1.73,0.5,0.3,5.1047,1,214.3754,75.3378,139.0376
Post,16.0,126,-1.73,0.5,0.3,4.054,1,172.6385,67.054,105.5844
General Mills,12.0,102,-1.73,0.5,0.43,3.9119,1,269.1237,94.7499,174.3738
General Mills,14.0,126,-1.73,0.5,0.43,4.3154,1,240.7646,85.05,155.7146
General Mills,15.0,126,-1.73,0.5,0.43,4.1096,1,204.2672,72.3111,131.9561
General Mills,18.0,126,-1.73,0.5,0.43,5.1995,1,220.155,69.8643,150.2906
General Mills,20.0,126,-1.73,0.5,0.43,5.1635,1,315.9217,104.6533,211.2684
Kellogg's,12.0,18,-1.73,0.5,0.43,3.7705,1,196.2722,57.5814,138.6908
Kellogg's,15.0,102,-1.73,0.5,0.43,4.3011,1,524.1595,186.6738,337.4856
Kellogg's,18.0,74,-1.73,0.5,0.43,5.2325,1,220.4364,67.9503,152.4861
Kellogg's,20.0,80,-1.73,0.5,0.43,5.1047,1,238.2632,75.3378,162.9255
Post,16.0,126,-1.73,0.5,0.43,4.054,1,192.1589,67.054,125.1048
General Mills,12.0,102,-1.73,0.5,0.51,3.9119,1,288.6537,94.7499,193.9037
General Mills,14.0,126,-1.73,0.5,0.51,4.3154,1,259.1858,85.05,174.1358
General Mills,15.0,126,-1.73,0.5,0.51,4.1096,1,219.4426,72.3111,147.1315
General Mills,18.0,126,-1.73,0.5,0.51,5.1995,1,237.3082,69.8643,167.4439
General Mills,20.0,126,-1.73,0.5,0.51,5.1635,1,340.5367,104.6533,235.8833
Kellogg's,12.0,18,-1.73,0.5,0.51,3.7705,1,211.1431,57.5814,153.5617
Kellogg's,15.0,102,-1.73,0.5,0.51,4.3011,1,552.9974,186.6738,366.3236
Kellogg's,18.0,74,-1.73,0.5,0.51,5.2325,1,236.636,67.9503,168.6857
Kellogg's,20.0,80,-1.73,0.5,0.51,5.1047,1,254.2683,75.3378,178.9305
Post,16.0,126,-1.73,0.5,0.51,4.054,1,205.2532,67.054,138.1992
General Mills,12.0,102,-1.73,0.65,0.3,3.9119,1,243.7954,94.7499,149.0454
General Mills,14.0,126,-1.73,0.65,0.3,4.3154,1,216.8088,85.05,131.7588
General Mills,15.0,126,-1.73,0.65,0.3,4.1096,1,184.5607,72.3111,112.2496
General Mills,18.0,126,-1.73,0.65,0.3,5.1995,1,197.8305,69.8643,127.9662
General Mills,20.0,126,-1.73,0.65,0.3,5.1635,1,283.8862,104.6533,179.2329
Kellogg's,12.0,18,-1.73,0.65,0.3,3.7705,1,176.9421,57.5814,119.3607
Kellogg's,15.0,102,-1.73,0.65,0.3,4.3011,1,487.7315,186.6738,301.0577
Kellogg's,18.0,74,-1.73,0.65,0.3,5.2325,1,199.4121,67.9503,131.4618
Kellogg's,20.0,80,-1.73,0.65,0.3,5.1047,1,217.6153,75.3378,142.2775
Post,16.0,126,-1.73,0.65,0.3,4.054,1,175.2476,67.054,108.1935
